Year,CO2 Emissions
1971,161.348
1972,135.679
1973,168.682
1974,80.674
1975,88.008
1976,729.733
1977,2097.524
1978,3080.28
1979,5533.503
1980,3080.28
1981,3663.333
1982,4085.038
1983,4202.382
1984,5353.82
1985,6886.626
1986,8049.065
1987,9992.575
1988,11532.715
1989,12321.12
1990,13025.184
1991,14917.356
1992,16131.133
1993,18525.684
1994,20175.834
1995,26032.033
1996,27729.854
1997,25082.28
1998,26314.392
1999,31649.877
2000,40751.371
2001,43395.278
2002,53013.819
2003,58261.296
2004,57670.909
2005,68679.243
2006,73893.717
2007,81194.714
2008,83380.246
2009,81854.774
2010,82016.122
2011,92756.765
2012,92995.12
2013,90472.224
2014,81766.766
