Year,Electricity Usage per Capita (kWh)
1971,202.947640099472
1972,199.280125319674
1973,196.170467988061
1974,216.475587612186
1975,238.810071822516
1976,272.36465943068
1977,306.525639570996
1978,320.107668162475
1979,344.17438469065
1980,378.161052904238
1981,413.389232008955
1982,452.627737151841
1983,496.81476607988
1984,514.088508891252
1985,489.389176474952
1986,580.795313687516
1987,610.412469075573
1988,624.585094019081
1989,645.825438342248
1990,665.022215471812
1991,680.264425304779
1992,682.873577355049
1993,696.928425504462
1994,707.485476062155
1995,724.049224874604
1996,779.376923991456
1997,815.73307877418
1998,856.26611607797
1999,909.625547686773
2000,942.198518226587
2001,990.621536878948
2002,1036.76707611992
2003,1099.28051856395
2004,1138.83173446053
2005,1205.28139567205
2006,1271.18218392808
2007,1355.49364618815
2008,1396.74760682486
2009,1458.75377644423
2010,1494.91567642949
2011,1597.54387592635
2012,1596.46426709158
2013,1595.17418952174
2014,1592.21989414129
