Year,Population
1971,35555969
1972,36330768
1973,37120776
1974,37930374
1975,38775584
1976,39649050
1977,40577356
1978,41576636
1979,42632458
1980,43748556
1981,44899573
1982,46088647
1983,47353665
1984,48676443
1985,50035843
1986,51424313
1987,52841319
1988,54298446
1989,55765843
1990,57214630
1991,58611032
1992,59989142
1993,61382200
1994,62775847
1995,64166908
1996,65565195
1997,66993728
1998,68446011
1999,69907887
2000,71371371
2001,72854261
2002,74393759
2003,75963322
2004,77522427
2005,79075310
2006,80629670
2007,82218755
2008,83844783
2009,85501064
2010,87252413
2011,89200054
2012,91240376
2013,93377890
2014,95592324
